Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,80.730003,80.809998,80.639999,80.760002,70.474136,2419700
2016-01-04,80.790001,80.930000,80.699997,80.720001,70.439194,2750500
2016-01-05,80.760002,80.900002,80.699997,80.820000,70.526505,1513600
2016-01-06,81.029999,81.180000,80.980003,81.180000,70.840622,2391100
2016-01-07,81.120003,81.199997,80.970001,81.190002,70.849365,2792900
2016-01-08,81.139999,81.320000,81.099998,81.290001,70.936615,1405100
2016-01-11,81.110001,81.160004,80.949997,80.949997,70.639931,2146900
2016-01-12,81.080002,81.330002,81.000000,81.160004,70.823181,1645300
2016-01-13,81.199997,81.449997,81.160004,81.360001,70.997726,2887800
2016-01-14,81.339996,81.470001,81.220001,81.260002,70.910439,4545800
2016-01-15,81.500000,81.519997,81.360001,81.400002,71.032623,1773900
2016-01-19,81.400002,81.400002,81.230003,81.300003,70.945343,3856700
2016-01-20,81.529999,81.610001,81.300003,81.389999,71.023865,7796900
2016-01-21,81.529999,81.559998,81.330002,81.339996,70.980247,3062600
2016-01-22,81.320000,81.330002,81.199997,81.309998,70.954041,3004100
2016-01-25,81.400002,81.430000,81.300003,81.309998,70.954041,2164700
2016-01-26,81.410004,81.470001,81.320000,81.430000,71.058800,2659100
2016-01-27,81.349998,81.500000,81.250000,81.430000,71.058800,1734400
2016-01-28,81.410004,81.529999,81.370003,81.489998,71.111153,1487600
2016-01-29,81.760002,81.800003,81.650002,81.730003,71.320564,3634300
2016-02-01,81.519997,81.629997,81.330002,81.389999,71.175400,2255300
2016-02-02,81.669998,81.720001,81.580002,81.669998,71.420296,2554600
2016-02-03,81.660004,81.930000,81.559998,81.730003,71.472771,3238200
2016-02-04,81.739998,81.860001,81.690002,81.790001,71.525200,1179000
2016-02-05,81.699997,81.800003,81.599998,81.709999,71.455276,2360200
2016-02-08,81.919998,82.139999,81.849998,82.059998,71.761368,2519500
2016-02-09,82.209999,82.220001,81.970001,82.050003,71.752594,2354500
2016-02-10,82.099998,82.230003,81.919998,82.220001,71.901260,2553900
2016-02-11,82.500000,82.580002,82.220001,82.269997,71.944984,1887700
2016-02-12,82.160004,82.199997,81.889999,82.000000,71.708878,1474600
2016-02-16,81.889999,81.930000,81.800003,81.879997,71.603912,1488800
2016-02-17,81.809998,81.879997,81.660004,81.860001,71.586449,2158200
2016-02-18,81.860001,82.150002,81.860001,82.139999,71.831291,1819100
2016-02-19,82.059998,82.150002,82.000000,82.029999,71.735100,1862600
2016-02-22,82.050003,82.089996,81.970001,82.050003,71.752594,1596900
2016-02-23,81.940002,82.230003,81.900002,82.099998,71.796318,2243700
2016-02-24,82.239998,82.489998,82.110001,82.160004,71.848824,2434300
2016-02-25,82.239998,82.389999,82.230003,82.279999,71.953743,2407600
2016-02-26,82.120003,82.209999,82.029999,82.199997,71.883781,1628400
2016-02-29,82.129997,82.320000,82.129997,82.250000,71.927490,1827800
2016-03-01,82.169998,82.169998,81.730003,81.809998,71.686531,2546300
2016-03-02,81.750000,81.809998,81.650002,81.760002,71.642700,2137300
2016-03-03,81.779999,81.940002,81.739998,81.800003,71.677757,2750500
2016-03-04,81.849998,81.870003,81.650002,81.760002,71.642700,1147700
2016-03-07,81.709999,81.779999,81.669998,81.739998,71.625175,1303200
2016-03-08,82.070000,82.129997,82.000000,82.010002,71.861755,1713100
2016-03-09,81.889999,82.000000,81.839996,81.870003,71.739090,2010000
2016-03-10,81.959999,82.019997,81.760002,81.830002,71.704056,1785600
2016-03-11,81.900002,81.900002,81.720001,81.720001,71.607643,1422300
2016-03-14,81.830002,81.970001,81.800003,81.900002,71.765373,1534200
2016-03-15,81.980003,82.010002,81.790001,81.820000,71.695259,1870200
2016-03-16,81.760002,82.139999,81.709999,82.139999,71.975670,1402900
2016-03-17,82.209999,82.339996,82.180000,82.320000,72.133415,1571000
2016-03-18,82.389999,82.459999,82.320000,82.389999,72.194725,1219400
2016-03-21,82.300003,82.300003,82.209999,82.239998,72.063301,1613600
2016-03-22,82.389999,82.419998,82.190002,82.220001,72.045776,2150200
2016-03-23,82.269997,82.410004,82.230003,82.400002,72.203499,1234500
2016-03-24,82.519997,82.519997,82.209999,82.300003,72.115875,1752300
2016-03-28,82.290001,82.440002,82.279999,82.339996,72.150909,2369600
2016-03-29,82.449997,82.739998,82.419998,82.680000,72.448868,1841800
2016-03-30,82.629997,82.739998,82.540001,82.650002,72.422562,1624300
2016-03-31,82.720001,82.919998,82.690002,82.809998,72.562767,3037600
2016-04-01,82.650002,82.790001,82.529999,82.730003,72.644440,3027400
2016-04-04,82.769997,82.860001,82.699997,82.730003,72.644440,1452400
2016-04-05,82.959999,82.989998,82.879997,82.879997,72.776161,2149200
2016-04-06,82.900002,82.919998,82.800003,82.839996,72.741013,1833100
2016-04-07,83.080002,83.150002,83.000000,83.110001,72.978096,1533400
2016-04-08,83.059998,83.070000,82.970001,83.040001,72.916656,1402100
2016-04-11,82.989998,83.070000,82.930000,83.029999,72.907883,1214400
2016-04-12,82.919998,82.980003,82.820000,82.900002,72.793701,2388000
2016-04-13,82.870003,83.000000,82.800003,82.949997,72.837593,1749400
2016-04-14,82.949997,82.980003,82.849998,82.879997,72.776161,1617200
2016-04-15,82.989998,83.139999,82.959999,83.070000,72.942993,1181000
2016-04-18,83.019997,83.040001,82.959999,83.040001,72.916656,1395400
2016-04-19,83.040001,83.089996,82.940002,83.089996,72.960541,1163600
2016-04-20,83.110001,83.150002,82.860001,82.860001,72.758583,2388600
2016-04-21,82.800003,82.860001,82.680000,82.760002,72.670769,1683900
2016-04-22,82.820000,82.879997,82.709999,82.730003,72.644440,5115300
2016-04-25,82.720001,82.769997,82.620003,82.629997,72.556641,2483300
2016-04-26,82.669998,82.669998,82.440002,82.510002,72.451241,1689600
2016-04-27,82.610001,82.809998,82.550003,82.760002,72.670769,1456400
2016-04-28,82.779999,82.970001,82.739998,82.910004,72.802505,1625800
2016-04-29,82.870003,82.980003,82.820000,82.970001,72.855164,2856900
2016-05-02,82.779999,82.779999,82.629997,82.660004,72.726738,2443700
2016-05-03,82.949997,82.959999,82.839996,82.889999,72.929062,1765500
2016-05-04,82.940002,83.010002,82.830002,82.919998,72.955467,2868300
2016-05-05,82.959999,83.099998,82.870003,83.070000,73.087471,1270700
2016-05-06,83.070000,83.099998,82.970001,83.029999,73.052284,1520600
2016-05-09,83.110001,83.139999,83.029999,83.089996,73.105057,1373200
2016-05-10,83.089996,83.160004,83.029999,83.089996,73.105057,1889300
2016-05-11,83.139999,83.260002,83.070000,83.110001,73.122620,2381000
2016-05-12,83.099998,83.180000,83.059998,83.120003,73.131424,1653300
2016-05-13,83.160004,83.239998,83.089996,83.209999,73.210594,1397400
2016-05-16,83.150002,83.150002,83.019997,83.029999,73.052284,3132000
2016-05-17,83.129997,83.129997,82.940002,82.970001,72.999443,1735900
2016-05-18,82.919998,82.919998,82.519997,82.580002,72.656326,1685900
2016-05-19,82.629997,82.690002,82.589996,82.669998,72.735519,1464000
2016-05-20,82.660004,82.769997,82.620003,82.669998,72.735519,2044000
