Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,47.619999,47.619999,47.090000,47.330002,38.864269,3100
2016-01-04,46.610001,46.610001,46.209999,46.209999,37.944599,7100
2016-01-05,46.639999,47.490002,46.619999,47.360001,38.888908,4900
2016-01-06,47.200001,47.290001,47.029999,47.150002,38.716465,4700
2016-01-07,46.799999,46.799999,46.250000,46.279999,38.002083,6900
2016-01-08,46.369999,46.369999,45.959999,45.959999,37.739326,3300
2016-01-11,45.930000,46.099998,45.889999,45.939999,37.722897,11600
2016-01-12,45.990002,45.990002,45.480000,45.619999,37.460129,3100
2016-01-13,45.680000,46.119999,45.230000,45.230000,37.139889,5400
2016-01-14,45.250000,45.250000,44.930000,45.200001,37.115257,4300
2016-01-15,44.459999,44.660000,44.139999,44.430000,36.482983,11500
2016-01-19,44.610001,44.990002,44.610001,44.849998,36.827858,20600
2016-01-20,44.400002,44.400002,42.650002,43.439999,35.670052,17300
2016-01-21,43.820000,44.180000,43.529999,43.740002,35.916401,34800
2016-01-22,44.669998,44.980000,44.669998,44.959999,36.918182,1600
2016-01-25,44.740002,44.810001,44.689999,44.810001,36.795010,2400
2016-01-26,45.270000,45.459999,45.270000,45.459999,37.328743,700
2016-01-27,45.070000,45.150002,44.689999,44.689999,36.696484,2300
2016-01-28,44.889999,44.959999,44.450001,44.450001,36.499409,5100
2016-01-29,44.610001,45.299999,44.610001,45.270000,37.172737,2800
2016-02-01,45.340000,45.389999,45.320000,45.389999,37.271267,900
2016-02-02,44.840000,44.980000,44.820000,44.950001,36.909977,3400
2016-02-03,44.880001,45.270000,44.610001,45.160000,37.082413,2100
2016-02-04,45.340000,45.340000,45.160000,45.259998,37.164524,20400
2016-02-05,44.959999,44.959999,44.450001,44.450001,36.499409,600
2016-02-08,43.910000,43.919998,42.230000,42.820000,35.160957,2600
2016-02-09,42.439999,42.700001,41.919998,42.259998,34.701122,2200
2016-02-10,42.270000,42.889999,42.270000,42.560001,34.947464,24500
2016-02-11,41.919998,42.009998,41.910000,42.009998,34.495834,2200
2016-02-12,42.240002,42.430000,42.040001,42.360001,34.783234,4200
2016-02-16,42.759998,43.070000,42.590000,43.070000,35.366241,5100
2016-02-17,43.680000,43.680000,43.590000,43.599998,35.801434,2300
2016-02-18,43.459999,43.910000,43.450001,43.910000,36.056004,9600
2016-02-19,44.070000,44.119999,44.070000,44.119999,36.228432,1600
2016-02-22,44.279999,44.849998,44.279999,44.549999,36.581524,7300
2016-02-23,44.450001,44.790001,44.389999,44.389999,36.450142,14100
2016-02-24,44.130001,44.490002,43.980000,44.349998,36.417297,6900
2016-02-25,44.639999,45.200001,44.639999,45.169998,37.090622,11800
2016-02-26,45.160000,45.200001,45.000000,45.000000,36.951027,3300
2016-02-29,45.070000,45.430000,45.000000,45.080002,37.016724,8100
2016-03-01,45.330002,46.000000,45.330002,46.000000,37.772160,7200
2016-03-02,46.020000,46.439999,45.950001,46.439999,38.133465,12200
2016-03-03,46.290001,46.619999,46.200001,46.560001,38.231995,2000
2016-03-04,46.459999,46.660000,46.340000,46.660000,38.314114,5300
2016-03-07,46.700001,46.790001,46.509998,46.610001,38.273056,5900
2016-03-08,46.700001,46.700001,46.270000,46.270000,37.993870,10600
2016-03-09,46.580002,46.700001,46.439999,46.509998,38.190941,5200
2016-03-10,46.380001,46.810001,46.009998,46.430000,38.125248,2800
2016-03-11,46.950001,47.500000,46.939999,47.500000,39.003860,14000
2016-03-14,47.439999,47.529999,47.240002,47.529999,39.028492,2700
2016-03-15,47.299999,47.599998,47.299999,47.580002,39.069569,2400
2016-03-16,47.520000,48.180000,47.430000,48.119999,39.512966,16300
2016-03-17,48.240002,48.900002,48.240002,48.830002,40.095974,4800
2016-03-18,48.700001,48.939999,48.660000,48.730000,40.013851,4100
2016-03-21,48.459999,48.459999,48.169998,48.169998,39.554028,5400
2016-03-22,48.160000,48.299999,48.060001,48.189999,39.570446,23600
2016-03-23,47.720001,47.720001,47.520000,47.580002,39.501537,14600
2016-03-24,47.180000,47.480000,47.180000,47.480000,39.418514,22400
2016-03-28,47.330002,47.950001,47.330002,47.900002,39.767204,10900
2016-03-29,48.139999,48.799999,48.049999,48.779999,40.497803,5400
2016-03-30,49.000000,49.000000,48.750000,48.980000,40.663845,3400
2016-03-31,48.790001,48.990002,48.750000,48.990002,40.672146,3600
2016-04-01,48.770000,49.099998,48.770000,49.080002,40.746864,1500
2016-04-04,49.160000,49.160000,48.889999,49.020000,40.697044,7300
2016-04-05,48.799999,48.799999,48.680000,48.709999,40.439682,3200
2016-04-06,48.680000,48.889999,48.500000,48.889999,40.589115,3100
2016-04-07,48.639999,48.639999,48.560001,48.560001,40.315144,900
2016-04-08,48.910000,48.910000,48.910000,48.910000,40.605724,400
2016-04-11,49.060001,49.060001,48.830002,48.889999,40.589115,3500
2016-04-12,48.849998,49.209999,48.849998,49.029999,40.705345,7500
2016-04-13,48.740002,48.830002,48.740002,48.790001,40.506096,1100
2016-04-14,48.610001,48.610001,48.480000,48.549999,40.306843,4200
2016-04-15,48.599998,48.939999,48.520000,48.860001,40.564213,2600
2016-04-18,48.869999,48.939999,48.799999,48.810001,40.522701,2500
2016-04-19,48.959999,49.139999,48.959999,49.110001,40.771767,3300
2016-04-20,48.570000,48.570000,48.340000,48.340000,40.132500,2000
2016-04-21,48.349998,48.349998,47.410000,47.509998,39.443424,3300
2016-04-22,47.830002,48.060001,47.750000,48.060001,39.900036,900
2016-04-25,47.650002,48.310001,47.650002,48.310001,40.107597,2000
2016-04-26,48.740002,48.740002,48.439999,48.470001,40.240433,1300
2016-04-27,48.599998,48.599998,48.139999,48.490002,40.257030,1800
2016-04-28,48.459999,48.459999,48.279999,48.279999,40.082687,1100
2016-04-29,48.049999,48.189999,47.730000,47.730000,39.626068,2400
2016-05-02,48.439999,48.669998,48.439999,48.669998,40.406467,2600
2016-05-03,48.330002,48.549999,48.330002,48.490002,40.257030,4700
2016-05-04,48.369999,49.299999,48.110001,49.299999,40.929508,1900
2016-05-05,49.340000,49.520000,49.330002,49.419998,41.029129,3600
2016-05-06,49.299999,49.919998,49.240002,49.840000,41.377823,7200
2016-05-09,49.619999,50.419998,49.619999,50.400002,41.842743,15700
2016-05-10,50.430000,50.500000,50.360001,50.410000,41.851044,14000
